Date,Close,High,Low,Open,Volume
2018-02-20,6.159127235412598,6.228116808973568,6.048347551683565,6.052056998182356,686240000
2018-02-21,5.971938133239746,6.230588130913704,5.968229159264793,6.223664461285995,892292000
2018-02-22,5.991486072540283,6.077591155351202,5.9259176173552595,6.005837076986369,534364000
2018-02-23,6.085012912750244,6.085012912750244,6.000639840966035,6.051362695516801,415300000
2018-02-26,6.101097106933594,6.135736973848416,6.038744874554123,6.1312833440926235,469312000
2018-02-27,6.088229179382324,6.158746302183656,6.065218214526613,6.074372764379381,455436000
2018-02-28,5.9877753257751465,6.138706526909213,5.976145956738843,6.09911796871672,523116000
2018-03-01,5.745541095733643,6.039486276661281,5.644342675354168,5.985546726695921,1040120000
2018-03-02,5.852677345275879,5.859110732051971,5.48920467847542,5.637909261294251,913428000
2018-03-05,5.8306565284729,5.870245076477378,5.678982544082047,5.802449581834848,620776000
2018-03-06,5.991734027862549,6.011033721759666,5.872968350719602,5.916020896885599,636808000
2018-03-07,5.9838151931762695,6.036022754077321,5.887565451882281,5.888802387630274,581208000
2018-03-08,5.967484951019287,6.011279838993567,5.923195005582265,6.011279838993567,411912000
2018-03-09,6.070168972015381,6.0830348047433365,5.998909474812033,6.014992001688391,505524000
2018-03-12,6.179779052734375,6.259945802774405,6.103323582105625,6.111488963129783,605060000
2018-03-13,6.129056930541992,6.297061246413395,6.087736378730613,6.22258505286977,619772000
2018-03-14,6.154541492462158,6.199326025828772,6.092189261251881,6.172108718373038,505496000
2018-03-15,6.169386863708496,6.250543253781907,6.127323968189306,6.16814992792827,401952000
2018-03-16,6.197593688964844,6.216645614354642,6.148107763958072,6.185717029208599,399456000
2018-03-19,5.963031768798828,6.169634506923961,5.864060383112154,6.140685677467764,713772000
2018-03-20,6.175325393676758,6.214171596719415,5.966000552313128,5.966000552313128,554696000
2018-03-21,6.150087833404541,6.235203270058805,6.119653832245937,6.16889199504957,438688000
2018-03-22,5.984063148498535,6.133262817434952,5.946701644033227,6.086746288462936,551196000
2018-03-23,5.764346122741699,6.000145433587969,5.753211813369072,5.997671090179302,735620000
2018-03-26,6.049137592315674,6.050374528317797,5.836843790614422,5.888803597494901,611424000
2018-03-27,5.580013275146484,6.185718854004184,5.439721311229807,6.130047289931568,1409000000
2018-03-28,5.476834774017334,5.675767204397146,5.369203412954883,5.545619927975961,945904000
2018-03-29,5.73020076751709,5.82694509225424,5.460750767474767,5.545123847267335,916628000
2018-04-02,5.4694108963012695,5.805914054467844,5.38157382755221,5.659683801729473,922092000
2018-04-03,5.5758056640625,5.699520012893588,5.476834279384188,5.63642590264016,667432000
2018-04-04,5.597827434539795,5.608219395357925,5.294974454346427,5.319964713256621,789168000
2018-04-05,5.4775776863098145,5.66933486960228,5.4060708883798645,5.656221270686768,701240000
2018-04-06,5.301158428192139,5.483018629780931,5.271961841093869,5.374892246041351,662988000
2018-04-09,5.329862594604492,5.4921758825003595,5.3098205494667425,5.364255174463649,499524000
2018-04-10,5.639148235321045,5.666117781698622,5.5030621516440075,5.560218410613589,761676000
2018-04-11,5.597827434539795,5.665622944591044,5.565166851416292,5.624302394119099,460244000
2018-04-12,5.804676532745361,5.8224915220699485,5.646569623329924,5.690859567914785,593920000
2018-04-13,5.727973937988281,5.87667853548443,5.679725420136267,5.868265862069684,503036000
2018-04-16,5.72772741317749,5.76113034661501,5.633456943604899,5.734655387051984,350792000
2018-04-17,5.877421855926514,5.898700835743247,5.7242636036733305,5.779935161128163,447224000
2018-04-18,5.8484721183776855,5.919731612254024,5.759398104981867,5.826945847347642,391364000
2018-04-19,5.667107105255127,5.76756319722322,5.611683314890839,5.734160264166391,471996000
2018-04-20,5.658940315246582,5.742818323248566,5.627764443525455,5.6584452578830415,386200000
2018-04-23,5.539433479309082,5.7279739206725395,5.513453580841575,5.676756473969848,427508000
2018-04-24,5.473122596740723,5.661167977810091,5.407801440471872,5.565166001307488,414596000
2018-04-25,5.36079216003418,5.482527266030929,5.203427531659309,5.443433283822909,588492000
2018-04-26,5.572587490081787,5.580752869014552,5.456543495679028,5.522606989489173,375824000
2018-04-27,5.6000542640686035,5.698283782565751,5.557744068569237,5.678489503179339,400848000
2018-04-30,5.564671039581299,5.666116762140036,5.5453718212301935,5.6163835438616525,327844000
2018-05-01,5.620096206665039,5.622817843342413,5.497866073527672,5.556507032192569,253788000
2018-05-02,5.5995588302612305,5.661168238258703,5.5733311662822835,5.616631470335047,268248000
2018-05-03,5.7648420333862305,5.791069702000668,5.586198456838597,5.631478054953076,443144000
2018-05-04,5.915030002593994,5.918246696218617,5.718819242416038,5.736139174344388,400660000
2018-05-07,6.1530561447143555,6.2102123899728285,6.009794828406193,6.019692201688229,687616000
2018-05-08,6.195614814758301,6.198336451147336,6.1043132817720185,6.153304152573014,506616000
2018-05-09,6.328731536865234,6.330958587878234,6.188439593299769,6.215656903327681,596760000
2018-05-10,6.436361789703369,6.445516340444918,6.363864902330214,6.381679890264161,994080000
